,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL,rating_program_name
3972,1000007482,LEED,Non-profit,K-12,"23,897 sq ft",May 13 2014,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"22062 Antonio Pkwy, Rancho Santa Margarita, CA, USA",http://www.gbig.org/buildings/8636,LEED Schools 2009
3973,1000008210,LEED,K-12 Education,Public Assembly,"3,875 sq ft",NA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"4825 Speak Ln, San Jose, CA, USA",http://www.gbig.org/buildings/37871,LEED Schools 2009
3974,1000006341,LEED,K-12 Education,K-12,"37,878 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pasadena Water & Power Dept.,"325 S Oak Knoll Ave, Pasadena, CA, USA",http://www.gbig.org/buildings/12121,LEED Schools 2009
3975,1000006491,LEED,Local Government,K-12,"11,400 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"1 Sea Hawk Way, Redondo Beach, CA, USA",http://www.gbig.org/buildings/1311591,LEED Schools 2009
3976,1000006162,LEED,Local Government,K-12,"4,360 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"1532 California Ave, Santa Monica, CA, USA",http://www.gbig.org/buildings/1311731,LEED Schools 2009
3977,1000006164,LEED,Local Government,K-12,"34,275 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"1 Sea Hawk Way, Redondo Beach, CA, USA",http://www.gbig.org/buildings/1311591,LEED Schools 2009
3978,1000010371,LEED,K-12 Education,K-12,"37,200 sq ft",October 10 2016,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"14171 Newland St, Westminster, CA, USA",http://www.gbig.org/buildings/4391,LEED Schools 2009
3979,1000010372,LEED,K-12 Education,K-12,"37,000 sq ft",November 14 2016,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"13603 Edwards St, Westminster, CA, USA",http://www.gbig.org/buildings/26258,LEED Schools 2009
3980,1000010373,LEED,K-12 Education,K-12,"16,500 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"6311 Larchwood Dr, Huntington Beach, CA, USA",http://www.gbig.org/buildings/40606,LEED Schools 2009
3981,1000009784,LEED,K-12 Education,K-12,"24,807 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pasadena Water & Power Dept.,"1520 N Raymond Ave, Pasadena, CA, USA",http://www.gbig.org/buildings/5065,LEED Schools 2009
3982,1000009749,LEED,Higher Education,K-12,"200,000 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"450 Harrison St #209, San Francisco, CA, USA",http://www.gbig.org/buildings/1311828,LEED Schools 2009
3983,1000008930,LEED,Federal Government,Health Care,"154,445 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"5901 E 7th St, Long Beach, CA, USA",http://www.gbig.org/buildings/17610,LEED HC 2009
3984,1000017217,LEED,Non-profit,Health Care,"61,251 sq ft",April 06 2016,"Bakersfield-Delano, CA Metropolitan Statistical Area",Central California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"2620 Chester Ave, Bakersfield, CA, USA",http://www.gbig.org/buildings/10082,LEED HC 2009
3985,1000017713,LEED,Non-profit,Health Care,"320,000 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"1900 Sullivan Ave, Daly City, CA, USA",http://www.gbig.org/buildings/29095,LEED HC 2009
3986,1000019267,LEED,Corporate,Office,"3,200 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"3555 Beacon Avenue, Town Fair Shopping Center, Fremont, CA, USA",http://www.gbig.org/buildings/117382,LEED HC 2009
3987,1000019387,LEED,K-12 Education,Health Care,"2,806 sq ft",November 14 2015,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"52500 Temecula Drive, San Bernardino National Forest, Idyllwild-Pine Cove, CA, USA",http://www.gbig.org/buildings/117393,LEED HC 2009
3988,1000019217,LEED,Corporate,Retail,"19,371 sq ft",April 01 2016,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"101 W Avenida Vista Hermosa, San Clemente, CA, USA",http://www.gbig.org/buildings/1060182,LEED Retail CI 2009
3989,1000017700,LEED,Higher Education,Retail,"2,350 sq ft",September 10 2013,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"Genetics & Plant Biology, University of California, Berkeley, Berkeley, CA, USA",http://www.gbig.org/buildings/794491,LEED Retail CI 2009
3990,1000016607,LEED,Corporate,Office,"3,200 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"17900 Jamboree Road, Irvine, CA, USA",http://www.gbig.org/buildings/1029557,LEED Retail CI 2009
3991,1000015632,LEED,Corporate,Retail,"10,000 sq ft",September 27 2013,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"600 South P Street, Livermore, CA, USA",http://www.gbig.org/buildings/91932,LEED Retail CI 2009
3992,1000019660,LEED,Corporate,Retail,"37,490 sq ft",July 22 2015,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"400 Post St, San Francisco, CA, USA",http://www.gbig.org/buildings/13896,LEED Retail CI 2009
3993,1000019691,LEED,Corporate,Retail,"3,835 sq ft",March 18 2013,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"609 3rd St, Davis, CA, USA",http://www.gbig.org/buildings/40220,LEED Retail CI 2009
