,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL
4877,1000033403,LEED,NA,Office,"180,500 sq ft",NA,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"5975 Pacific Mesa Court, San Diego, CA, USA",http://www.gbig.org/buildings/99802
4878,1000032879,LEED,NA,Office,"302,081 sq ft",September 30 2016,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"900 Jefferson Avenue, Redwood City, CA, USA",http://www.gbig.org/buildings/98961
4879,1000032735,LEED,NA,Office,"189,000 sq ft",October 21 2016,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"270 Brannan Street, San Francisco, CA, USA",http://www.gbig.org/buildings/98927
4880,1000032462,LEED,NA,Warehouse and Distribution,"448,060 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"13833 Freeway Drive, Santa Fe Springs, CA, USA",http://www.gbig.org/buildings/98841
4881,1000032464,LEED,NA,Warehouse and Distribution,"448,060 sq ft",February 20 2015,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"13833 Freeway Drive, Santa Fe Springs, CA, USA",http://www.gbig.org/buildings/98841
4882,1000032124,LEED,NA,Warehouse and Distribution,"82,480 sq ft",December 24 2015,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"901 Rankin Street, San Francisco, CA, USA",http://www.gbig.org/buildings/123947
4883,1000032301,LEED,NA,Office,1.591 Million sq ft,August 17 2018,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"101 1st Street, San Francisco, CA, USA",http://www.gbig.org/buildings/123965
4884,1000031910,LEED,NA,Office,"38,000 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"1314 7th Street, Santa Monica, CA, USA",http://www.gbig.org/buildings/87936
4885,1000032232,LEED,NA,Office,"69,000 sq ft",January 07 2015,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"4757 Nexus Center Drive, San Diego, CA, USA",http://www.gbig.org/buildings/67782
4886,1000031703,LEED,NA,Office,"87,550 sq ft",NA,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"450 B Street, San Diego, CA, USA",http://www.gbig.org/buildings/67062
4887,1000031317,LEED,NA,Health Care,"69,273 sq ft",December 17 2014,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"3851 Katella Avenue, Los Alamitos, CA, USA",http://www.gbig.org/buildings/123644
4888,1000030939,LEED,NA,Warehouse and Distribution,"520,588 sq ft",September 26 2013,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Southern California Edison Co.,"5125 Ontario Mills Parkway, Ontario, CA, USA",http://www.gbig.org/buildings/84428
4889,1000031114,LEED,NA,Office,"157,206 sq ft",May 23 2016,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"12333 West Olympic Boulevard, Los Angeles, CA, USA",http://www.gbig.org/buildings/85750
4890,1000029995,LEED,NA,Office,"159,595 sq ft",February 29 2016,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"333 Brannan Street, San Francisco, CA, USA",http://www.gbig.org/buildings/123450
4891,1000030052,LEED,NA,Office,"464,224 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"Hollywood Proper Residences, 1550 N El Centro Ave, Los Angeles, CA, USA",http://www.gbig.org/buildings/1313159
4892,1000030054,LEED,NA,Office,"101,227 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"1538N El Centro Ave, Los Angeles, CA, USA",http://www.gbig.org/buildings/1324693
